gpu,imrecon,grayscale,8,1024,16,2117708
hw,algo,binary,conn,chunk,border,time(us)
cpu,imrecon,grayscale,8,1024,32,1331121
gpu,imrecon,grayscale,8,1024,32,2132215
hw,algo,binary,conn,chunk,border,time(us)
cpu,imrecon,grayscale,8,1024,64,1433157
gpu,imrecon,grayscale,8,1024,64,2418541
hw,algo,binary,conn,chunk,border,time(us)
cpu,imrecon,grayscale,8,1024,128,1666407
gpu,imrecon,grayscale,8,1024,128,2576031
hw,algo,binary,conn,chunk,border,time(us)
cpu,imrecon,grayscale,8,1024,256,2232056
gpu,imrecon,grayscale,8,1024,256,3065228
hw,algo,binary,conn,chunk,border,time(us)
cpu,imrecon,grayscale,8,2048,0,1216664
gpu,imrecon,grayscale,8,2048,0,1098596
hw,algo,binary,conn,chunk,border,time(us)
cpu,imrecon,grayscale,8,2048,1,1217430
gpu,imrecon,grayscale,8,2048,1,1079372
hw,algo,binary,conn,chunk,border,time(us)
cpu,imrecon,grayscale,8,2048,2,1213247
gpu,imrecon,grayscale,8,2048,2,1076772
hw,algo,binary,conn,chunk,border,time(us)
cpu,imrecon,grayscale,8,2048,4,1216986
gpu,imrecon,grayscale,8,2048,4,1076178
hw,algo,binary,conn,chunk,border,time(us)
cpu,imrecon,grayscale,8,2048,8,1219546
gpu,imrecon,grayscale,8,2048,8,1088909
hw,algo,binary,conn,chunk,border,time(us)
cpu,imrecon,grayscale,8,2048,16,1229233
gpu,imrecon,grayscale,8,2048,16,1080472
hw,algo,binary,conn,chunk,border,time(us)
cpu,imrecon,grayscale,8,2048,32,1241427
gpu,imrecon,grayscale,8,2048,32,1089107
hw,algo,binary,conn,chunk,border,time(us)
cpu,imrecon,grayscale,8,2048,64,1269569
gpu,imrecon,grayscale,8,2048,64,1131626
hw,algo,binary,conn,chunk,border,time(us)
cpu,imrecon,grayscale,8,2048,128,1342187
gpu,imrecon,grayscale,8,2048,128,1249106
hw,algo,binary,conn,chunk,border,time(us)
cpu,imrecon,grayscale,8,2048,256,1538509
gpu,imrecon,grayscale,8,2048,256,1479130
